n_estimators,learning_rate,max_depth,min_child_weight,val_auc,best_threshold,fn,fp,fp_fn_ratio,total_errors,balance_score,auc_rank,error_rank,balance_rank,composite_score
300,0.05,6,7,0.9706719586239295,0.23000000000000007,70,478,6.828571428571428,548,653.0,87.0,185.0,140.5,132.45000000000002
200,0.07,4,1,0.9699579259006358,0.3300000000000002,107,393,3.6728971962616823,500,660.5,183.0,17.5,181.0,132.75
500,0.03,6,3,0.9703515572525081,0.2500000000000001,78,456,5.846153846153846,534,651.0,139.0,146.5,123.0,136.45
500,0.03,4,3,0.9701359087008048,0.28000000000000014,78,451,5.782051282051282,529,646.0,173.0,127.0,100.5,137.45000000000002
400,0.03,5,5,0.9700794909012961,0.30000000000000016,96,419,4.364583333333333,515,659.0,175.0,59.5,173.0,139.75
500,0.03,5,1,0.9705212956177919,0.2500000000000001,73,471,6.4520547945205475,544,653.5,111.0,176.5,142.5,140.1
400,0.1,5,3,0.9704391745801118,0.24000000000000007,73,469,6.424657534246576,542,651.5,124.5,172.5,129.5,140.4
500,0.1,5,3,0.9704391745801118,0.24000000000000007,73,469,6.424657534246576,542,651.5,124.5,172.5,129.5,140.4
200,0.1,5,3,0.9704391745801118,0.24000000000000007,73,469,6.424657534246576,542,651.5,124.5,172.5,129.5,140.4
300,0.1,5,3,0.9704391745801118,0.24000000000000007,73,469,6.424657534246576,542,651.5,124.5,172.5,129.5,140.4
300,0.1,6,1,0.9702291839739179,0.2600000000000001,83,444,5.349397590361446,527,651.5,165.5,118.0,129.5,140.45
200,0.1,6,1,0.9702291839739179,0.2600000000000001,83,444,5.349397590361446,527,651.5,165.5,118.0,129.5,140.45
500,0.1,6,1,0.9702291839739179,0.2600000000000001,83,444,5.349397590361446,527,651.5,165.5,118.0,129.5,140.45
400,0.1,6,1,0.9702291839739179,0.2600000000000001,83,444,5.349397590361446,527,651.5,165.5,118.0,129.5,140.45
500,0.03,3,3,0.9691743812753688,0.3200000000000002,89,429,4.820224719101123,518,651.5,205.0,70.0,129.5,141.85
500,0.03,4,7,0.9701886084218359,0.28000000000000014,76,457,6.0131578947368425,533,647.0,171.0,143.0,105.0,142.8
200,0.07,5,3,0.9704047419402971,0.2500000000000001,66,483,7.318181818181818,549,648.0,133.0,187.0,112.0,142.9
300,0.05,5,7,0.9703614182432532,0.27000000000000013,83,448,5.397590361445783,531,655.5,136.0,138.5,157.5,143.2
200,0.07,4,7,0.9698547896367776,0.3200000000000002,101,409,4.0495049504950495,510,661.5,189.0,41.5,185.0,143.55
300,0.05,4,5,0.9705355213093585,0.2500000000000001,65,492,7.569230769230769,557,654.5,103.0,200.5,145.5,145.0
300,0.05,5,3,0.9704344865681183,0.24000000000000007,66,486,7.363636363636363,552,651.0,128.0,192.0,123.0,145.7
400,0.1,6,3,0.9703440402677599,0.2600000000000001,85,445,5.235294117647059,530,657.5,141.5,133.5,167.0,146.75
200,0.1,6,3,0.9703440402677599,0.2600000000000001,85,445,5.235294117647059,530,657.5,141.5,133.5,167.0,146.75
300,0.1,6,3,0.9703440402677599,0.2600000000000001,85,445,5.235294117647059,530,657.5,141.5,133.5,167.0,146.75
500,0.1,6,3,0.9703440402677599,0.2600000000000001,85,445,5.235294117647059,530,657.5,141.5,133.5,167.0,146.75
500,0.05,6,5,0.9704139563086982,0.23000000000000007,71,475,6.690140845070423,546,652.5,131.5,180.5,137.0,147.85
400,0.05,6,5,0.9704139563086982,0.23000000000000007,71,475,6.690140845070423,546,652.5,131.5,180.5,137.0,147.85
300,0.07,6,1,0.9705264685965433,0.2500000000000001,84,452,5.380952380952381,536,662.0,109.0,159.0,189.0,148.0
400,0.07,6,1,0.9705264685965433,0.2500000000000001,84,452,5.380952380952381,536,662.0,109.0,159.0,189.0,148.0
500,0.07,6,1,0.9705264685965433,0.2500000000000001,84,452,5.380952380952381,536,662.0,109.0,159.0,189.0,148.0
500,0.03,3,7,0.9690025413874674,0.3300000000000002,96,417,4.34375,513,657.0,214.0,53.5,162.0,150.25
200,0.07,6,3,0.9704330316678444,0.2600000000000001,80,458,5.725,538,658.0,129.0,163.5,170.0,151.65
200,0.07,5,5,0.9704642311959393,0.24000000000000007,66,490,7.424242424242424,556,655.0,118.0,198.5,151.5,152.2
300,0.05,3,1,0.9690693051444789,0.3200000000000002,88,434,4.931818181818182,522,654.0,208.0,90.0,144.0,153.4
300,0.07,5,7,0.9706950753727251,0.20000000000000004,54,525,9.722222222222221,579,660.0,82.0,238.5,177.5,157.6
400,0.07,5,7,0.9706950753727251,0.20000000000000004,54,525,9.722222222222221,579,660.0,82.0,238.5,177.5,157.6
500,0.07,5,7,0.9706950753727251,0.20000000000000004,54,525,9.722222222222221,579,660.0,82.0,238.5,177.5,157.6
500,0.03,3,5,0.9690248498583331,0.3200000000000002,90,432,4.8,522,657.0,212.0,90.0,162.0,160.4
400,0.03,6,7,0.9701978227902368,0.29000000000000015,98,425,4.336734693877551,523,670.0,169.0,96.5,213.0,160.45000000000002
300,0.05,6,3,0.9703988415114085,0.23000000000000007,70,484,6.914285714285715,554,659.0,134.0,195.0,173.0,164.0
200,0.1,3,3,0.9701338071781869,0.29000000000000015,84,449,5.345238095238095,533,659.0,174.0,143.0,173.0,164.4
200,0.07,5,1,0.9704456408035511,0.24000000000000007,64,500,7.8125,564,660.0,122.0,208.5,177.5,164.6
200,0.1,6,7,0.9698596393043571,0.24000000000000007,80,455,5.6875,535,655.0,186.5,152.5,151.5,165.8
500,0.1,6,7,0.9698596393043571,0.24000000000000007,80,455,5.6875,535,655.0,186.5,152.5,151.5,165.8
400,0.1,6,7,0.9698596393043571,0.24000000000000007,80,455,5.6875,535,655.0,186.5,152.5,151.5,165.8
300,0.1,6,7,0.9698596393043571,0.24000000000000007,80,455,5.6875,535,655.0,186.5,152.5,151.5,165.8
400,0.03,4,1,0.9695882195754891,0.31000000000000016,91,434,4.769230769230769,525,661.5,195.0,108.0,185.0,165.9
400,0.03,5,3,0.9699795877491577,0.28000000000000014,87,443,5.091954022988506,530,660.5,181.0,133.5,181.0,166.75
200,0.05,6,1,0.9698950418776879,0.27000000000000013,80,456,5.7,536,656.0,184.0,159.0,159.0,169.0
300,0.05,4,3,0.9702015408687146,0.2600000000000001,70,480,6.857142857142857,550,655.0,168.0,188.5,151.5,169.2
500,0.03,3,1,0.9689579244457355,0.3200000000000002,92,431,4.684782608695652,523,661.0,216.0,96.5,183.0,170.25
400,0.03,6,5,0.970259171085118,0.2600000000000001,81,460,5.679012345679013,541,662.5,160.0,169.0,192.0,172.29999999999998
400,0.03,5,7,0.9699685143415178,0.28000000000000014,86,448,5.209302325581396,534,663.0,182.0,146.5,193.5,174.8
400,0.03,5,1,0.9700466748173413,0.24000000000000007,61,501,8.21311475409836,562,653.5,177.0,204.5,142.5,174.89999999999998
400,0.03,4,7,0.9694820926832903,0.29000000000000015,76,465,6.118421052631579,541,655.0,197.0,169.0,151.5,174.95
200,0.07,3,5,0.9687144711332428,0.3200000000000002,91,434,4.769230769230769,525,661.5,219.0,108.0,185.0,175.5
300,0.05,3,5,0.9690820759357717,0.31000000000000016,83,450,5.421686746987952,533,657.5,207.0,143.0,167.0,175.8
200,0.07,6,7,0.9703607716209093,0.23000000000000007,70,492,7.0285714285714285,562,667.0,137.0,204.5,204.0,177.35
400,0.03,6,1,0.9700179001230359,0.22000000000000006,59,507,8.59322033898305,566,654.5,178.0,214.0,145.5,179.05
300,0.03,4,7,0.9680844993146611,0.3500000000000002,107,411,3.8411214953271027,518,678.5,227.0,70.0,226.0,179.60000000000002
